score,grade_iter1,grade_iter2
99.1,A,A
93.5,B+,B+
92.5,B+,B+
91.5,B+,B+
91.5,B+,B+
91,B+,B+
90.5,B+,B+
89.5,B+,B+
88.88,B+,B+
88.63,B+,B+
88,B+,B+
87.5,B+,B+
86.5,B+,B+
86.5,B+,B+
85.36,B+,B+
85.07,B+,B+
84.5,B+,B+
84.5,B+,B+
84.36,B+,B+
82.33,B,B
81.07,B,B
80.89,B,B
80.5,B,B
80.5,B,B
80.36,B,B
80.28,B,B
80,B,B
80,B,B
79.5,B,B
79,B,B
78,B,B
77.94,B,B
77.5,B,B
76.64,B,B
76.57,B,B
76.5,B,B
76.28999999999999,B,B
76,B,B
75.23,B,B
74.78999999999999,B,B
74.5,B,B
74.5,B,B
74.07,B,B
74,B,B
73.39,B,B
73,B,B
73,B,B
73,B,B
73,B,B
73,B,B
72.5,B,B
71.89,B,B
71.63,B,B
71.57,B,B
71.25,B,B
71.07,B,B
71,B,B
71,B,B
70.7,B,B
70.28999999999999,B,B
70.25,B,B
70.06,B,B
69.78999999999999,B,B
68.5,B,B
68.5,B,B
68.36,B,B
68,B,B
68,B,B
67.86,B,B
67.36,B,B
66.5,B,B
66.28999999999999,B,B
66.25,B,B
66,B,B
65.5,B,B
65.5,B,B
65.28,B,B
64.5,B,B
63.89,B,B
63.86,B,B
63.83,B,B
63.75,B,B
63.7,B,B
63.67,B,B
63.47,B,B
62.83,B,B
62.54,B,B
62.5,B,B
62.14,B,B
62,B,B
61.96,B,B
61.5,B,B
61.5,B,B
60.86,B,B
60.5,B,B
60.27,B,B
60.18,B,B
59.8,B,B
59.72,B,B
59.67,B,B
59.5,B,B
58,C+,C+
57.21,C+,C+
57.21,C+,C+
56.86,C+,C+
56.86,C+,C+
56.67,C+,C+
56.67,C+,C+
56.57,C+,C+
56.5,C+,C+
56,C+,C+
55.5,C+,C+
55.5,C+,C+
53.5,C,C
53,C,C
51.57,C,C
51.5,C,C
51.36,C,C
50.71,C,C
50.68,C,C
49.75,C,C
49.4,C,C
48.3,C,C
47.7,C,C
47,C,C
46.84,C,C
45,D+,D+
44.75,D+,D+
44.5,D+,D+
44.33,D+,D+
43.5,D+,D+
42.5,D+,D+
41.5,D+,D+
41.5,D+,D+
39.5,D,D
38,F,D
37,F,D
36,F,D
35,F,D
