Score,Grade,Gap,PVI,,,,,,
100.00,,,,,,,,,
99.1,A,0.90,0.00,,,,,,
93.5,B+,5.60,9.14,,,,,,
92.5,B+,1.00,,,,,,,
91.5,B+,1.00,,,,,,,
91.5,B+,0.00,,,,,,,
91,B+,0.50,,,,,,,
90.5,B+,0.50,,,,,,,
89.5,B+,1.00,,,,,,,
88.88,B+,0.62,,,,,,,
88.63,B+,0.25,,,,,,,
88,B+,0.63,,,,,,,
87.5,B+,0.50,,,,,,,
86.5,B+,1.00,,,,,,,
86.5,B+,0.00,,,,,,,
85.36,B+,1.14,,,,,,,
85.07,B+,0.29,,,,,,,
84.5,B+,0.57,,,,,,,
84.5,B+,0.00,,,,,,,
84.36,B+,0.14,,,,,,,
82.33,B,2.03,22.83,,,,,,
81.07,B,1.26,,,,,,,
80.89,B,0.18,,,,,,,
80.5,B,0.39,,,,,,,
80.5,B,0.00,,,,,,,
80.36,B,0.14,,,,,,,
80.28,B,0.08,,,,,,,
80,B,0.28,,,,,,,
80,B,0.00,,,,,,,
79.5,B,0.50,,,,,,,
79,B,0.50,,,,,,,
78,B,1.00,,,,,,,
77.94,B,0.06,,,,,,,
77.5,B,0.44,,,,,,,
76.64,B,0.86,,,,,,,
76.57,B,0.07,,,,,,,
76.5,B,0.07,,,,,,,
76.29,B,0.21,,,,,,,
76,B,0.29,,,,,,,
75.23,B,0.77,,,,,,,
74.79,B,0.44,,,,,,,
74.5,B,0.29,,,,,,,
74.5,B,0.00,,,,,,,
74.07,B,0.43,,,,,,,
74,B,0.07,,,,,,,
73.39,B,0.61,,,,,,,
73,B,0.39,,,,,,,
73,B,0.00,,,,,,,
73,B,0.00,,,,,,,
73,B,0.00,,,,,,,
73,B,0.00,,,,,,,
72.5,B,0.50,,,,,,,
71.89,B,0.61,,,,,,,
71.63,B,0.26,,,,,,,
71.57,B,0.06,,,,,,,
71.25,B,0.32,,,,,,,
71.07,B,0.18,,,,,,,
71,B,0.07,,,,,,,
71,B,0.00,,,,,,,
70.7,B,0.30,,,,,,,
70.29,B,0.41,,,,,,,
70.25,B,0.04,,,,,,,
70.06,B,0.19,,,,,,,
69.79,B,0.27,,,,,,,
68.5,B,1.29,,,,,,,
68.5,B,0.00,,,,,,,
68.36,B,0.14,,,,,,,
68,B,0.36,,,,,,,
68,B,0.00,,,,,,,
67.86,B,0.14,,,,,,,
67.36,B,0.50,,,,,,,
66.5,B,0.86,,,,,,,
66.29,B,0.21,,,,,,,
66.25,B,0.04,,,,,,,
66,B,0.25,,,,,,,
65.5,B,0.50,,,,,,,
65.5,B,0.00,,,,,,,
65.28,B,0.22,,,,,,,
64.5,B,0.78,,,,,,,
63.89,B,0.61,,,,,,,
63.86,B,0.03,,,,,,,
63.83,B,0.03,,,,,,,
63.75,B,0.08,,,,,,,
63.7,B,0.05,,,,,,,
63.67,B,0.03,,,,,,,
63.47,B,0.20,,,,,,,
62.83,B,0.64,,,,,,,
62.54,B,0.29,,,,,,,
62.5,B,0.04,,,,,,,
62.14,B,0.36,,,,,,,
62,B,0.14,,,,,,,
61.96,B,0.04,,,,,,,
61.5,B,0.46,,,,,,,
61.5,B,0.00,,,,,,,
60.86,B,0.64,,,,,,,
60.5,B,0.36,,,,,,,
60.27,B,0.23,,,,,,,
60.18,B,0.09,,,,,,,
59.8,B,0.38,,,,,,,
59.72,B,0.08,,,,,,,
59.67,B,0.05,,,,,,,
59.5,B,0.17,,,,,,,
58,C+,1.50,2.50,,,,,,
57.21,C+,0.79,,,,,,,
57.21,C+,0.00,,,,,,,
56.86,C+,0.35,,,,,,,
56.86,C+,0.00,,,,,,,
56.67,C+,0.19,,,,,,,
56.67,C+,0.00,,,,,,,
56.57,C+,0.10,,,,,,,
56.5,C+,0.07,,,,,,,
56,C+,0.50,,,,,,,
55.5,C+,0.50,,,,,,,
55.5,C+,0.00,,,,,,,
53.5,C,2.00,6.66,,,,,,
53,C,0.50,,,,,,,
51.57,C,1.43,,,,,,,
51.5,C,0.07,,,,,,,
51.36,C,0.14,,,,,,,
50.71,C,0.65,,,,,,,
50.68,C,0.03,,,,,,,
49.75,C,0.93,,,,,,,
49.4,C,0.35,,,,,,,
48.3,C,1.10,,,,,,,
47.7,C,0.60,,,,,,,
47,C,0.70,,,,,,,
46.84,C,0.16,,,,,,,
45,D+,1.84,3.50,,,,,,
44.75,D+,0.25,,,,,,,
44.5,D+,0.25,,,,,,,
44.33,D+,0.17,,,,,,,
43.5,D+,0.83,,,,,,,
42.5,D+,1.00,,,,,,,
