Test Case,Exhaustive (Fixed k),DP (Fixed k),Exhaustive (Overall),DP (Overall)
tc1_uniform,0.9955477749997076,0.9955477749997076,1.0,1.0
tc2_bimodal,0.02138182870950327,0.0,0.31893221706178715,0.31893221706178715
tc3_outlier_high,0.0061424786783234745,0.0,0.15031095110870135,0.149952762418781
tc4_outlier_low,0.006529102345011966,0.0,0.1398702355843964,0.12632012166089399
tc5_skewed,0.058888310094616834,0.0,0.48362184642403877,0.2662638671922842
tc6_normal,0.07725238147579555,0.0,0.40589175636233865,0.19712454195541113
tc7_narrow,0.0,0.0,0.9593003337295234,0.8870916643488733
tc8_small_n,0.0,0.0,0.08615786293989429,0.08615786293989429
tc9_five_groups,0.09269601861510277,0.0,0.6720865161510349,0.12428012471631575
tc10_gaps,0.047460541677442986,0.0,0.4142135623730951,0.4142135623730951
